X Y Z LocalTime TrackLength
100.0000000000 100.0000000000 100.0000000000 0.0000000000 0.0000000000
99.9987625063 100.0482022237 76.4610009313 0.0785178910 23.5390620581
100.0053653337 100.0994218410 58.4473401071 0.1386052740 41.5527984652
100.0190435798 100.1352681410 45.5427800562 0.1816504656 54.4574163064
100.1492424831 100.3078108283 -26.4465638240 0.4217822753 126.4471149067
100.1871862264 100.3509877758 -50.9813879403 0.5036219066 150.9820093730
100.1941347505 100.3562420186 -54.8209998910 0.5164295131 154.8216312586
100.2772431628 100.4424615374 -96.9004375934 0.6567920505 196.9012491407
100.3074389181 100.4772567402 -111.4664488544 0.7053793026 211.4673342439
100.3285580235 100.4966563969 -120.7747124017 0.7364284912 220.7756423363
100.4671863990 100.5680384999 -168.0924948159 0.8942645628 268.0936940262
100.6732898772 100.6964050737 -236.0869206387 1.1210711196 336.0885808545
100.9119102139 100.8551043073 -293.9387504256 1.3140465296 393.9411424128
101.2012347407 100.9965211506 -354.6861681299 1.5166810573 454.6894351925
101.2436197761 101.0121177907 -362.9026139243 1.5440885987 462.9060053976
101.3388230167 101.0467733258 -380.7695215382 1.6036871767 480.7732017940
101.4964001856 101.0957207625 -408.7566048729 1.6970437091 508.7607755546
101.5295044956 101.1051288562 -414.0869283056 1.7148241341 514.0912101963
101.5591171915 101.1126958682 -418.7875592277 1.7305040907 518.7919405664
102.0482289596 101.2182505385 -482.9288105902 1.9444628965 582.9351673733
102.1499860169 101.2328447604 -495.0276561399 1.9848217790 595.0344502924
102.6646670847 101.3504120900 -558.5701511561 2.1967841563 658.5791627427
103.3346971017 101.5031172853 -633.1086519934 2.4454285270 733.1208639551
103.3435571024 101.5062946076 -634.1913135379 2.4490400356 734.2035664165
104.0331686211 101.7626455374 -723.9259221934 2.7483726889 823.9412405896
104.0982723075 101.7821701104 -732.9231209644 2.7783849856 832.9386964282
104.1556262938 101.7993445727 -740.8682730604 2.8048879265 840.8840743599
104.2979560410 101.8426561890 -760.1172364914 2.8690975085 860.1336145086
104.3338196731 101.8532572853 -764.9632845884 2.8852626747 864.9798069934
104.7662555591 101.9092335251 -825.7859398884 3.0881506230 925.8040733712
105.2049784533 101.9483684639 -886.6177826065 3.2910692335 986.6375320345
105.3607242630 101.9727258571 -906.6170067884 3.3577815719 1006.6373794444
105.4196586717 101.9860508318 -914.3577132195 3.3836025893 1014.3783219402
105.9326515513 102.1534222093 -990.4876218045 3.6375511447 1090.5101783942
106.2418828650 102.2813078631 -1037.6833130734 3.7949830646 1137.7070684351
106.3907776306 102.3571253049 -1058.8220083221 3.8654964018 1158.8464262795
106.4904142744 102.4041701669 -1072.9777252120 3.9127162458 1173.0025729069
106.6365659199 102.4596558671 -1095.6947660009 3.9884939712 1195.7201541610
106.7139984774 102.4875255164 -1107.8589655954 4.0290703233 1207.8846328034
106.7506067024 102.5015869659 -1113.7694879615 4.0487861480 1213.7952854029
107.0816254984 102.6364451137 -1171.5053956752 4.2413761980 1271.5323188763
107.5862260719 102.7123805837 -1265.8868426485 4.5562035794 1365.9151988202
107.6170402533 102.7115283372 -1270.8742997291 4.5728402719 1370.9027512575
107.6641901946 102.7108133974 -1278.8410847203 4.5994150856 1378.8696760719
107.7514290866 102.7060968835 -1294.6464951522 4.6521370929 1394.6753291309
107.8107340519 102.6977417394 -1306.4760287720 4.6915966960 1406.5050149848
108.0524728453 102.6719408815 -1349.6992104398 4.8357760667 1449.7288906194
108.0927713479 102.6674326664 -1356.7533179783 4.8593064378 1456.7831149101
108.1641164521 102.6639386680 -1369.0578272181 4.9003505758 1469.0878321746
108.6514429275 102.5798849725 -1453.0355700149 5.1804751756 1553.0670733057
109.2774161633 102.3581487245 -1553.3822821171 5.5152032824 1653.4160451895
109.3730115932 102.3410239046 -1566.9334469836 5.5604062874 1666.9675589079
109.8357038525 102.2803338276 -1635.3236113725 5.7885367505 1735.3593429745
109.8599603380 102.2765881915 -1639.1439173740 5.8012801893 1739.1797278705
109.8601355025 102.2765658152 -1639.1709015778 5.8013702009 1739.2067126520
110.2671631605 102.2538569007 -1704.1867368468 6.0182440615 1804.2238511124
110.7519080563 102.2870320451 -1789.6930971173 6.3034673345 1889.7316368767
110.9708531867 102.3182102482 -1832.6674372701 6.4468162766 1932.7065562953
111.0117245143 102.3276851832 -1840.1116130223 6.4716477815 1940.1508505040
111.4150980614 102.4635893770 -1921.7971253721 6.7441251665 2021.8375130465
111.7935962957 102.5855225840 -1988.7907826014 6.9675960051 2088.8323763778
111.8727139583 102.6033294204 -2000.2906228746 7.0059563172 2100.3325031928
111.8858321983 102.6073735438 -2002.2395945368 7.0124575516 2102.2815231998
112.0786278929 102.6612442930 -2030.3703059318 7.1062939295 2130.4129509402
112.4293294906 102.7421763280 -2079.8029201829 7.2711878389 2179.8468892349
112.6671237265 102.7970419704 -2113.7776478570 7.3845183152 2213.8224996477
112.8127034194 102.8221869822 -2135.3162573134 7.4563651106 2235.3616180633
112.9226626549 102.8397709262 -2152.5424864121 7.5138268566 2252.5882085228
113.1330925827 102.8809838447 -2185.1764532811 7.6226844599 2285.2228855391
113.7091556601 102.9994048825 -2272.7898740800 7.9149381120 2372.8383272143
